name,version,repository,license,license-url,license-source
parking,v2.2.0,https://github.com/smol-rs/parking,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/parking
parking_lot,v0.12.1,https://github.com/Amanieu/parking_lot,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/parking_lot
parking_lot_core,v0.9.9,https://github.com/Amanieu/parking_lot,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/parking_lot_core
password-hash,v0.5.0,https://github.com/RustCrypto/traits/tree/master/password-hash,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/password-hash
paste,v1.0.15,https://github.com/dtolnay/paste,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/paste
percent-encoding,v2.3.1,https://github.com/servo/rust-url/,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/percent-encoding
pin-project-lite,v0.2.13,https://github.com/taiki-e/pin-project-lite,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/pin-project-lite
pin-utils,v0.1.0,https://github.com/rust-lang-nursery/pin-utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/pin-utils
pkg-config,v0.3.27,https://github.com/rust-lang/pkg-config-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/pkg-config
platforms,v3.2.0,https://github.com/rustsec/rustsec/tree/main/platforms,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/platforms
plotters,v0.3.5,https://github.com/plotters-rs/plotters,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/plotters (normalized)
plotters-backend,v0.3.5,https://github.com/plotters-rs/plotters,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/plotters-backend (normalized)
plotters-svg,v0.3.5,https://github.com/plotters-rs/plotters.git,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/plotters-svg (normalized)
poly1305,v0.8.0,https://github.com/RustCrypto/universal-hashes,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/poly1305
polyval,v0.6.1,https://github.com/RustCrypto/universal-hashes,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/polyval
ppv-lite86,v0.2.17,https://github.com/cryptocorrosion/cryptocorrosion,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/ppv-lite86
primeorder,v0.13.6,https://github.com/RustCrypto/elliptic-curves/tree/master/primeorder,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/primeorder
proc-macro2,v1.0.82,https://github.com/dtolnay/proc-macro2,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/proc-macro2
quote,v1.0.36,https://github.com/dtolnay/quote,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/quote
rand,v0.8.5,https://github.com/rust-random/rand,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rand
rand_chacha,v0.3.1,https://github.com/rust-random/rand,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rand_chacha
rand_core,v0.6.4,https://github.com/rust-random/rand,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rand_core
rayon,v1.8.0,https://github.com/rayon-rs/rayon,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rayon
rayon-core,v1.12.0,https://github.com/rayon-rs/rayon,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rayon-core
regex,v1.10.2,https://github.com/rust-lang/regex,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/regex
regex-automata,v0.4.3,https://github.com/rust-lang/regex/tree/master/regex-automata,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/regex-automata
regex-syntax,v0.8.2,https://github.com/rust-lang/regex/tree/master/regex-syntax,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/regex-syntax
rfc6979,v0.4.0,https://github.com/RustCrypto/signatures/tree/master/rfc6979,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/rfc6979
ring,v0.17.7,https://github.com/briansmith/ring,non-standard,UNKNOWN,https://crates.io/api/v1/crates/ring
rmp,v0.8.12,https://github.com/3Hren/msgpack-rust,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/rmp (normalized)
rmp-serde,v1.1.2,https://github.com/3Hren/msgpack-rust,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/rmp-serde (normalized)
rustc_version,v0.4.0,https://github.com/Kimundi/rustc-version-rs,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rustc_version
rustix,v0.38.28,https://github.com/bytecodealliance/rustix,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/rustix
rustls,v0.21.11,https://github.com/rustls/rustls,Apache-2.0 OR ISC OR MIT,UNKNOWN,https://crates.io/api/v1/crates/rustls
rustls-pemfile,v1.0.4,https://github.com/rustls/pemfile,Apache-2.0 OR ISC OR MIT,UNKNOWN,https://crates.io/api/v1/crates/rustls-pemfile
rustls-webpki,v0.101.7,https://github.com/rustls/webpki,ISC,https://api.github.com/licenses/isc,https://crates.io/api/v1/crates/rustls-webpki (normalized)
ryu,v1.0.16,https://github.com/dtolnay/ryu,Apache-2.0 OR BSL-1.0,UNKNOWN,https://crates.io/api/v1/crates/ryu
salsa20,v0.10.2,https://github.com/RustCrypto/stream-ciphers,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/salsa20
same-file,v1.0.6,https://github.com/BurntSushi/same-file,Unlicense/MIT,UNKNOWN,https://crates.io/api/v1/crates/same-file
scopeguard,v1.2.0,https://github.com/bluss/scopeguard,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/scopeguard
sct,v0.7.1,https://github.com/rustls/sct.rs,Apache-2.0 OR ISC OR MIT,UNKNOWN,https://crates.io/api/v1/crates/sct
sec1,v0.7.3,https://github.com/RustCrypto/formats/tree/master/sec1,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/sec1
semver,v1.0.20,https://github.com/dtolnay/semver,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/semver
serde,v1.0.193,https://github.com/serde-rs/serde,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/serde
serde-json-core,v0.5.1,https://github.com/rust-embedded-community/serde-json-core,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/serde-json-core
serde_cbor,v0.11.2,https://github.com/pyfisch/cbor,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/serde_cbor
serde_derive,v1.0.193,https://github.com/serde-rs/serde,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/serde_derive
serde_json,v1.0.108,https://github.com/serde-rs/json,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/serde_json
sha1,v0.10.6,https://github.com/RustCrypto/hashes,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sha1
sha2,v0.10.8,https://github.com/RustCrypto/hashes,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sha2
signature,v2.2.0,https://github.com/RustCrypto/traits/tree/master/signature,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/signature
slab,v0.4.9,https://github.com/tokio-rs/slab,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/slab (normalized)
smallvec,v1.11.2,https://github.com/servo/rust-smallvec,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/smallvec
socket2,v0.5.5,https://github.com/rust-lang/socket2,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/socket2
spin,v0.9.8,https://github.com/mvdnes/spin-rs.git,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/spin (normalized)
sqlformat,v0.2.3,https://github.com/shssoichiro/sqlformat-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sqlformat
sqlx,v0.7.3,https://github.com/launchbadge/sqlx,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sqlx
sqlx-core,v0.7.3,https://github.com/launchbadge/sqlx,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sqlx-core
sqlx-macros,v0.7.3,https://github.com/launchbadge/sqlx,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sqlx-macros
sqlx-macros-core,v0.7.3,https://github.com/launchbadge/sqlx,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sqlx-macros-core
sqlx-postgres,v0.7.3,https://github.com/launchbadge/sqlx,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sqlx-postgres
sqlx-sqlite,v0.7.3,https://github.com/launchbadge/sqlx,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/sqlx-sqlite
stringprep,v0.1.4,https://github.com/sfackler/rust-stringprep,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/stringprep
subtle,v2.5.0,https://github.com/dalek-cryptography/subtle,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://crates.io/api/v1/crates/subtle (normalized)
syn,v1.0.109,https://github.com/dtolnay/syn,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/syn
syn,v2.0.61,https://github.com/dtolnay/syn,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/syn
